"time","compositeStep.compositeStep11.transition.enableFire","compositeStep.compositeStep12.transition.enableFire","compositeStep.transition1.enableFire","compositeStep.transition2.enableFire","compositeStep.transition3.enableFire","compositeStep.transition4.enableFire","transition1.enableFire","transition2.enableFire","transition3.enableFire","transition4.enableFire"
0,0,0,0,0,0,0,1,0,0,0
0.004,0,0,0,0,0,0,1,0,0,0
0.008,0,0,0,0,0,0,1,0,0,0
0.012,0,0,0,0,0,0,1,0,0,0
0.016,0,0,0,0,0,0,1,0,0,0
0.02,0,0,0,0,0,0,1,0,0,0
0.024,0,0,0,0,0,0,1,0,0,0
0.028,0,0,0,0,0,0,1,0,0,0
0.032,0,0,0,0,0,0,1,0,0,0
0.036,0,0,0,0,0,0,1,0,0,0
0.04,0,0,0,0,0,0,1,0,0,0
0.044,0,0,0,0,0,0,1,0,0,0
0.048,0,0,0,0,0,0,1,0,0,0
0.052,0,0,0,0,0,0,1,0,0,0
0.056,0,0,0,0,0,0,1,0,0,0
0.06,0,0,0,0,0,0,1,0,0,0
0.064,0,0,0,0,0,0,1,0,0,0
0.068,0,0,0,0,0,0,1,0,0,0
0.072,0,0,0,0,0,0,1,0,0,0
0.076,0,0,0,0,0,0,1,0,0,0
0.08,0,0,0,0,0,0,1,0,0,0
0.084,0,0,0,0,0,0,1,0,0,0
0.088,0,0,0,0,0,0,1,0,0,0
0.092,0,0,0,0,0,0,1,0,0,0
0.096,0,0,0,0,0,0,1,0,0,0
0.1,0,0,0,0,0,0,1,0,0,0
0.104,0,0,0,0,0,0,1,0,0,0
0.108,0,0,0,0,0,0,1,0,0,0
0.112,0,0,0,0,0,0,1,0,0,0
0.116,0,0,0,0,0,0,1,0,0,0
0.12,0,0,0,0,0,0,1,0,0,0
0.124,0,0,0,0,0,0,1,0,0,0
0.128,0,0,0,0,0,0,1,0,0,0
0.132,0,0,0,0,0,0,1,0,0,0
0.136,0,0,0,0,0,0,1,0,0,0
0.14,0,0,0,0,0,0,1,0,0,0
0.144,0,0,0,0,0,0,1,0,0,0
0.148,0,0,0,0,0,0,1,0,0,0
0.152,0,0,0,0,0,0,1,0,0,0
0.156,0,0,0,0,0,0,1,0,0,0
0.16,0,0,0,0,0,0,1,0,0,0
0.164,0,0,0,0,0,0,1,0,0,0
0.168,0,0,0,0,0,0,1,0,0,0
0.172,0,0,0,0,0,0,1,0,0,0
0.176,0,0,0,0,0,0,1,0,0,0
0.18,0,0,0,0,0,0,1,0,0,0
0.184,0,0,0,0,0,0,1,0,0,0
0.188,0,0,0,0,0,0,1,0,0,0
0.192,0,0,0,0,0,0,1,0,0,0
0.196,0,0,0,0,0,0,1,0,0,0
0.2,0,0,0,0,0,0,1,0,0,0
0.204,0,0,0,0,0,0,1,0,0,0
0.208,0,0,0,0,0,0,1,0,0,0
0.212,0,0,0,0,0,0,1,0,0,0
0.216,0,0,0,0,0,0,1,0,0,0
0.22,0,0,0,0,0,0,1,0,0,0
0.224,0,0,0,0,0,0,1,0,0,0
0.228,0,0,0,0,0,0,1,0,0,0
0.232,0,0,0,0,0,0,1,0,0,0
0.236,0,0,0,0,0,0,1,0,0,0
0.24,0,0,0,0,0,0,1,0,0,0
0.244,0,0,0,0,0,0,1,0,0,0
0.248,0,0,0,0,0,0,1,0,0,0
0.252,0,0,0,0,0,0,1,0,0,0
0.256,0,0,0,0,0,0,1,0,0,0
0.26,0,0,0,0,0,0,1,0,0,0
0.264,0,0,0,0,0,0,1,0,0,0
0.268,0,0,0,0,0,0,1,0,0,0
0.272,0,0,0,0,0,0,1,0,0,0
0.276,0,0,0,0,0,0,1,0,0,0
0.28,0,0,0,0,0,0,1,0,0,0
