"time","Mux2x1.out"
0,1
0.003,1
0.006,1
0.009,1
0.012,1
0.015,1
0.018,1
0.021,1
0.024,1
0.027,1
0.03,1
0.033,1
0.036,1
0.039,1
0.042,1
0.045,1
0.048,1
0.051,1
0.054,1
0.057,1
0.06,1
0.063,1
0.066,1
0.069,1
0.072,1
0.075,1
0.078,1
0.081,1
0.084,1
0.087,1
0.09,1
0.093,1
0.096,1
0.099,1
0.102,1
0.105,1
0.108,1
0.111,1
0.114,1
0.117,1
0.12,1
0.123,1
0.126,1
0.129,1
0.132,1
0.135,1
0.138,1
0.141,1
0.144,1
0.147,1
0.15,1
0.153,1
0.156,1
0.159,1
0.162,1
0.165,1
0.168,1
0.171,1
0.174,1
0.177,1
0.18,1
0.183,1
0.186,1
0.189,1
0.192,1
0.195,1
0.198,1
0.201,1
0.204,1
0.207,1
0.21,1
0.213,1
0.216,1
0.219,1
0.222,1
0.225,1
0.228,1
0.231,1
0.234,1
0.237,1
0.24,1
0.243,1
0.246,1
0.249,1
0.252,1
0.255,1
0.258,1
0.261,1
0.264,1
0.267,1
0.27,1
0.273,1
0.276,1
0.279,1
0.282,1
0.285,1
0.288,1
0.291,1
0.294,1
0.297,1
0.3,1
0.303,1
0.306,1
0.309,1
0.312,1
0.315,1
0.318,1
0.321,1
0.324,1
0.327,1
0.33,1
0.333,1
0.336,1
0.339,1
0.342,1
0.345,1
0.348,1
0.351,1
0.354,1
0.357,1
0.36,1
0.363,1
0.366,1
0.369,1
0.372,1
0.375,1
0.378,1
0.381,1
0.384,1
0.387,1
0.39,1
0.393,1
0.396,1
0.399,1
0.402,1
0.405,1
0.408,1
0.411,1
0.414,1
0.417,1
0.42,1
0.423,1
0.426,1
0.429,1
0.432,1
0.435,1
0.438,1
0.441,1
0.444,1
0.447,1
0.45,1
0.453,1
0.456,1
0.459,1
0.462,1
0.465,1
0.468,1
0.471,1
0.474,1
0.477,1
0.48,1
0.483,1
0.486,1
0.489,1
0.492,1
0.495,1
0.498,1
0.501,1
0.504,1
0.507,1
0.51,1
0.513,1
0.516,1
0.519,1
0.522,1
0.525,1
0.528,1
0.531,1
0.534,1
0.537,1
0.54,1
0.543,1
0.546,1
0.549,1
0.552,1
0.555,1
0.558,1
0.561,1
0.564,1
0.567,1
0.57,1
0.573,1
0.576,1
0.579,1
0.582,1
0.585,1
0.588,1
0.591,1
0.594,1
0.597,1
0.6,1
0.603,1
0.606,1
0.609,1
0.612,1
0.615,1
0.618,1
0.621,1
0.624,1
0.627,1
0.63,1
0.633,1
0.636,1
0.639,1
0.642,1
0.645,1
0.648,1
0.651,1
0.654,1
0.657,1
0.66,1
0.663,1
0.666,1
0.669,1
0.672,1
0.675,1
0.678,1
0.681,1
0.684,1
0.687,1
0.69,1
0.693,1
0.696,1
0.699,1
0.702,1
0.705,1
0.708,1
0.711,1
0.714,1
0.717,1
0.72,1
0.723,1
0.726,1
0.729,1
0.732,1
0.735,1
0.738,1
0.741,1
0.744,1
0.747,1
0.75,1
0.753,1
0.756,1
0.759,1
0.762,1
0.765,1
0.768,1
0.771,1
0.774,1
0.777,1
0.78,1
0.783,1
0.786,1
0.789,1
0.792,1
0.795,1
0.798,1
0.801,1
0.804,1
0.807,1
0.81,1
0.813,1
0.816,1
0.819,1
0.822,1
0.825,1
0.828,1
0.831,1
0.834,1
0.837,1
0.84,1
0.843,1
0.846,1
0.849,1
0.852,1
0.855,1
0.858,1
0.861,1
0.864,1
0.867,1
0.87,1
0.873,1
0.876,1
0.879,1
0.882,1
0.885,1
0.888,1
0.891,1
0.894,1
0.897,1
0.9,1
0.903,1
0.906,1
0.909,1
0.912,1
0.915,1
0.918,1
0.921,1
0.924,1
0.927,1
0.93,1
0.933,1
0.936,1
0.939,1
0.942,1
0.945,1
0.948,1
0.951,1
0.954,1
0.957,1
0.96,1
0.963,1
0.966,1
0.969,1
0.972,1
0.975,1
0.978,1
0.981,1
0.984,1
0.987,1
0.99,1
0.993,1
0.996,1
0.999,1
1.002,1
1.005,1
1.008,1
1.011,1
1.014,1
1.017,1
1.02,1
1.023,1
1.026,1
1.029,1
1.032,1
1.035,1
1.038,1
1.041,1
1.044,1
1.047,1
1.05,1
1.053,1
1.056,1
1.059,1
1.062,1
1.065,1
1.068,1
1.071,1
1.074,1
1.077,1
1.08,1
1.083,1
1.086,1
1.089,1
1.092,1
1.095,1
1.098,1
1.101,1
1.104,1
1.107,1
1.11,1
1.113,1
1.116,1
1.119,1
1.122,1
1.125,1
1.128,1
1.131,1
1.134,1
1.137,1
1.14,1
1.143,1
1.146,1
1.149,1
1.152,1
1.155,1
1.158,1
1.161,1
1.164,1
1.167,1
1.17,1
1.173,1
1.176,1
1.179,1
1.182,1
1.185,1
1.188,1
1.191,1
1.194,1
1.197,1
1.2,1
1.203,1
1.206,1
1.209,1
1.212,1
1.215,1
1.218,1
1.221,1
1.224,1
1.227,1
1.23,1
1.233,1
1.236,1
1.239,1
1.242,1
1.245,1
1.248,1
1.251,1
1.254,1
1.257,1
1.26,1
1.263,1
1.266,1
1.269,1
1.272,1
1.275,1
1.278,1
1.281,1
1.284,1
1.287,1
1.29,1
1.293,1
1.296,1
1.299,1
1.302,1
1.305,1
1.308,1
1.311,1
1.314,1
1.317,1
1.32,1
1.323,1
1.326,1
1.329,1
1.332,1
1.335,1
1.338,1
1.341,1
1.344,1
1.347,1
1.35,1
1.353,1
1.356,1
1.359,1
1.362,1
1.365,1
1.368,1
1.371,1
1.374,1
1.377,1
1.38,1
1.383,1
1.386,1
1.389,1
1.392,1
1.395,1
1.398,1
1.401,1
1.404,1
1.407,1
1.41,1
1.413,1
1.416,1
1.419,1
1.422,1
1.425,1
1.428,1
1.431,1
1.434,1
1.437,1
1.44,1
1.443,1
1.446,1
1.449,1
1.452,1
1.455,1
1.458,1
1.461,1
1.464,1
1.467,1
1.47,1
1.473,1
1.476,1
1.479,1
1.482,1
1.485,1
1.488,1
1.491,1
1.494,1
1.497,1
1.5,1
1.503,1
1.506,1
1.509,1
1.512,1
1.515,1
1.518,1
1.521,1
1.524,1
1.527,1
1.53,1
1.533,1
1.536,1
1.539,1
1.542,1
1.545,1
1.548,1
1.551,1
1.554,1
1.557,1
1.56,1
1.563,1
1.566,1
1.569,1
1.572,1
1.575,1
1.578,1
1.581,1
1.584,1
1.587,1
1.59,1
1.593,1
1.596,1
1.599,1
1.602,1
1.605,1
1.608,1
1.611,1
1.614,1
1.617,1
1.62,1
1.623,1
1.626,1
1.629,1
1.632,1
1.635,1
1.638,1
1.641,1
1.644,1
1.647,1
1.65,1
1.653,1
1.656,1
1.659,1
1.662,1
1.665,1
1.668,1
1.671,1
1.674,1
1.677,1
1.68,1
1.683,1
1.686,1
1.689,1
1.692,1
1.695,1
1.698,1
1.701,1
1.704,1
1.707,1
1.71,1
1.713,1
1.716,1
1.719,1
1.722,1
1.725,1
1.728,1
1.731,1
1.734,1
1.737,1
