"time","dLATREG.delay.inertialDelaySensitive[1].x","dLATREG.delay.inertialDelaySensitive[1].y","dLATREG.delay.inertialDelaySensitive[2].x","dLATREG.delay.inertialDelaySensitive[2].y"
0,1,1,1,1
0.005,1,1,1,1
0.01,1,1,1,1
0.015,1,1,1,1
0.02,1,1,1,1
0.025,1,1,1,1
0.03,1,1,1,1
0.035,1,1,1,1
0.04,1,1,1,1
0.045,1,1,1,1
0.05,1,1,1,1
0.055,1,1,1,1
0.06,1,1,1,1
0.065,1,1,1,1
0.07,1,1,1,1
0.075,1,1,1,1
0.08,1,1,1,1
0.085,1,1,1,1
0.09,1,1,1,1
0.095,1,1,1,1
0.1,1,1,1,1
0.105,1,1,1,1
0.11,1,1,1,1
0.115,1,1,1,1
0.12,1,1,1,1
0.125,1,1,1,1
0.13,1,1,1,1
0.135,1,1,1,1
0.14,1,1,1,1
0.145,1,1,1,1
0.15,1,1,1,1
0.155,1,1,1,1
0.16,1,1,1,1
0.165,1,1,1,1
0.17,1,1,1,1
0.175,1,1,1,1
0.18,1,1,1,1
0.185,1,1,1,1
0.19,1,1,1,1
0.195,1,1,1,1
0.2,1,1,1,1
0.205,1,1,1,1
0.21,1,1,1,1
0.215,1,1,1,1
0.22,1,1,1,1
0.225,1,1,1,1
0.23,1,1,1,1
0.235,1,1,1,1
0.24,1,1,1,1
0.245,1,1,1,1
0.25,1,1,1,1
0.255,1,1,1,1
0.26,1,1,1,1
0.265,1,1,1,1
0.27,1,1,1,1
0.275,1,1,1,1
0.28,1,1,1,1
0.285,1,1,1,1
0.29,1,1,1,1
0.295,1,1,1,1
0.3,1,1,1,1
0.305,1,1,1,1
0.31,1,1,1,1
0.315,1,1,1,1
0.32,1,1,1,1
0.325,1,1,1,1
0.33,1,1,1,1
0.335,1,1,1,1
0.34,1,1,1,1
0.345,1,1,1,1
0.35,1,1,1,1
0.355,1,1,1,1
0.36,1,1,1,1
0.365,1,1,1,1
0.37,1,1,1,1
0.375,1,1,1,1
0.38,1,1,1,1
0.385,1,1,1,1
0.39,1,1,1,1
0.395,1,1,1,1
0.4,1,1,1,1
0.405,1,1,1,1
0.41,1,1,1,1
0.415,1,1,1,1
0.42,1,1,1,1
0.425,1,1,1,1
0.43,1,1,1,1
0.435,1,1,1,1
0.44,1,1,1,1
0.445,1,1,1,1
0.45,1,1,1,1
0.455,1,1,1,1
0.46,1,1,1,1
0.465,1,1,1,1
0.47,1,1,1,1
0.475,1,1,1,1
0.48,1,1,1,1
0.485,1,1,1,1
0.49,1,1,1,1
0.495,1,1,1,1
0.5,1,1,1,1
0.505,1,1,1,1
0.51,1,1,1,1
0.515,1,1,1,1
0.52,1,1,1,1
0.525,1,1,1,1
0.53,1,1,1,1
0.535,1,1,1,1
0.54,1,1,1,1
0.545,1,1,1,1
0.55,1,1,1,1
0.555,1,1,1,1
0.56,1,1,1,1
0.565,1,1,1,1
0.57,1,1,1,1
0.575,1,1,1,1
0.58,1,1,1,1
0.585,1,1,1,1
0.59,1,1,1,1
0.595,1,1,1,1
0.6,1,1,1,1
0.605,1,1,1,1
0.61,1,1,1,1
0.615,1,1,1,1
0.62,1,1,1,1
