"time","PID.I.y","dcpm.la.i","firstOrder.y","loadInertia.phi","loadInertia.w"
0,-0,0,0,0,0
5e-05,0,0,0,0,0
0.0001,0,0,0,0,0
0.00015,0,0,0,0,0
0.0002,0,0,0,0,0
0.00025,0,0,0,0,0
0.0003,0,0,0,0,0
0.00035,0,0,0,0,0
0.0004,0,0,0,0,0
0.00045,0,0,0,0,0
0.0005,0,0,0,0,0
0.00055,0,0,0,0,0
0.0006,0,0,0,0,0
0.00065,0,0,0,0,0
0.0007,0,0,0,0,0
0.00075,0,0,0,0,0
0.0008,0,0,0,0,0
0.00085,0,0,0,0,0
0.0009,0,0,0,0,0
0.00095,0,0,0,0,0
0.001,0,0,0,0,0
0.00105,0,0,0,0,0
0.0011,0,0,0,0,0
0.00115,0,0,0,0,0
0.0012,0,0,0,0,0
0.00125,0,0,0,0,0
0.0013,0,0,0,0,0
0.00135,0,0,0,0,0
0.0014,0,0,0,0,0
0.00145,0,0,0,0,0
0.0015,0,0,0,0,0
0.00155,0,0,0,0,0
0.0016,0,0,0,0,0
0.00165,0,0,0,0,0
0.0017,0,0,0,0,0
0.00175,0,0,0,0,0
0.0018,0,0,0,0,0
0.00185,0,0,0,0,0
0.0019,0,0,0,0,0
0.00195,0,0,0,0,0
0.002,0,0,0,0,0
0.00205,0,0,0,0,0
0.0021,0,0,0,0,0
0.00215,0,0,0,0,0
0.0022,0,0,0,0,0
0.00225,0,0,0,0,0
0.0023,0,0,0,0,0
0.00235,0,0,0,0,0
0.0024,0,0,0,0,0
0.00245,0,0,0,0,0
0.0025,0,0,0,0,0
0.00255,0,0,0,0,0
0.0026,0,0,0,0,0
0.00265,0,0,0,0,0
0.0027,0,0,0,0,0
0.00275,0,0,0,0,0
0.0028,0,0,0,0,0
0.00285,0,0,0,0,0
0.0029,0,0,0,0,0
0.00295,0,0,0,0,0
0.003,0,0,0,0,0
0.00305,0,0,0,0,0
0.0031,0,0,0,0,0
0.00315,0,0,0,0,0
0.0032,0,0,0,0,0
0.00325,0,0,0,0,0
0.0033,0,0,0,0,0
0.00335,0,0,0,0,0
0.0034,0,0,0,0,0
0.00345,0,0,0,0,0
0.0035,0,0,0,0,0
0.00355,0,0,0,0,0
0.0036,0,0,0,0,0
0.00365,0,0,0,0,0
0.0037,0,0,0,0,0
0.00375,0,0,0,0,0
0.0038,0,0,0,0,0
0.00385,0,0,0,0,0
0.0039,0,0,0,0,0
0.00395,0,0,0,0,0
0.004,0,0,0,0,0
0.00405,0,0,0,0,0
0.0041,0,0,0,0,0
0.00415,0,0,0,0,0
0.0042,0,0,0,0,0
0.00425,0,0,0,0,0
0.0043,0,0,0,0,0
0.00435,0,0,0,0,0
0.0044,0,0,0,0,0
0.00445,0,0,0,0,0
0.0045,0,0,0,0,0
0.00455,0,0,0,0,0
0.0046,0,0,0,0,0
0.00465,0,0,0,0,0
0.0047,0,0,0,0,0
0.00475,0,0,0,0,0
0.0048,0,0,0,0,0
0.00485,0,0,0,0,0
0.0049,0,0,0,0,0
0.00495,0,0,0,0,0
0.005,0,0,0,0,0
0.00505,0,0,0,0,0
0.0051,0,0,0,0,0
0.00515,0,0,0,0,0
0.0052,0,0,0,0,0
0.00525,0,0,0,0,0
0.0053,0,0,0,0,0
0.00535,0,0,0,0,0
0.0054,0,0,0,0,0
0.00545,0,0,0,0,0
0.0055,0,0,0,0,0
0.00555,0,0,0,0,0
0.0056,0,0,0,0,0
0.00565,0,0,0,0,0
0.0057,0,0,0,0,0
0.00575,0,0,0,0,0
0.0058,0,0,0,0,0
0.00585,0,0,0,0,0
0.0059,0,0,0,0,0
0.00595,0,0,0,0,0
0.006,0,0,0,0,0
0.00605,0,0,0,0,0
0.0061,0,0,0,0,0
0.00615,0,0,0,0,0
0.0062,0,0,0,0,0
0.00625,0,0,0,0,0
0.0063,0,0,0,0,0
0.00635,0,0,0,0,0
0.0064,0,0,0,0,0
0.00645,0,0,0,0,0
0.0065,0,0,0,0,0
0.00655,0,0,0,0,0
0.0066,0,0,0,0,0
0.00665,0,0,0,0,0
0.0067,0,0,0,0,0
0.00675,0,0,0,0,0
